"*The expenditure data in this dashboard is based on General Fund Expenditure data for:
- Years 2013-14 through 2016-17 Actuals
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5846 - LICENSING AGREEMENTS,"$6,230 ","$6,230 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,1105 - TEACHERS SALARIES,"$110,054 ","$88,929 ","$16,332 ","$4,793.62 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,1120 - TEACHERS SALARIES STIPENDS,"$35,490 ","$31,314 ",$0 ,"$4,175.77 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,1205 - PUPILSUPPT SALARIES,"$24,407 ","$18,906 ","$4,731 ",$769.30 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,1220 - PUPILSUPPT SALARIES STIPENDS,$450 ,$450 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,2120 - INSTRAIDES SALARIES STIPENDS,$900 ,$450 ,$0 ,$450.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,2205 - CLASSSUPPT SALARIES,"$26,496 ","$18,396 ","$5,862 ","$2,238.86 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,2220 - CLASSSUPPT SALARIES STIPENDS,$900 ,$900 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3101 - STRS CERTIFICATED,"$24,884 ","$15,884 ","$2,357 ","$6,643.22 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3201 - PERS CERTIFICATED,$0 ,"$2,936 ",$735 ,"($3,671.08)"
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3202 - PERS CLASSIFIED,"$3,731 ","$2,828 ",$910 ,($7.00)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED","$1,513 ","$1,340 ",$293 ,($119.67)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$1,492 ","$1,224 ",$363 ,($95.18)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3321 - MEDICARE CERTIFICATED,"$2,240 ","$2,024 ",$305 ,($89.89)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3322 - MEDICARE CLASSIFIED,$349 ,$286 ,$85 ,($22.25)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3401 - HEALTH & WELFARE CERTIFICATED,"$27,418 ","$22,957 ","$5,020 ",($559.21)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3402 - HEALTH & WELFARE CLASSIFIED,$0 ,$722 ,"$2,887 ","($3,609.27)"
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$184 ,$149 ,$23 ,$12.45 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3502 - ST UNEMPLOY INS CLASSIFIED,$26 ,$21 ,$6 ,($1.51)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3601 - WORKERS COMP CERTIFICATED,"$10,759 ","$8,376 ","$1,264 ","$1,119.75 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3602 - WORKERS COMP CLASSIFIED,"$1,505 ","$1,173 ",$352 ,($20.56)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$69 ,$126 ,$19 ,($76.42)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,3902 - OTHER BENEFITS CLASSIFIED,$51 ,$125 ,$408 ,($481.09)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,4200 - BOOKS-OTHER THAN TEXTBOOKS,"$1,260 ",$0 ,$0 ,"$1,260.00 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,4310 - SUPPLIES,"$8,734 ",$801 ,$240 ,"$7,692.64 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,4397 - FALL REVISIONS,"($1,260)",$0 ,$0 ,"($1,260.00)"
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,5220 - CONFERENCE  EXPENSE,"$12,402 ","$12,402 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,5700 - INTPRGM - ITL,"$25,000 ","$25,000 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,5704 - INTPRGM -CENTRAL SCHL SECURITY,"$61,119 ","$61,119 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,5724 - INTERPGM - POSTAGE,"$2,000 ",$0 ,$0 ,"$2,000.00 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,5730 - INTRPGM-COMM SRV PRG MGR,"$62,500 ","$62,500 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,5732 - DIRECT COST COUNSELOR,"$8,605 ","$8,605 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,5825 - CONSULTANTS,"$26,000 ","$11,000 ","$15,000 ",$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,5826 - EXTERNAL WORK ORDER SERVICES,"$3,000 ",$700 ,"$2,100 ",$200.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,5829 - ADMISSION  FEES,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Middle,203 - FRICK MIDDLE,5846 - LICENSING AGREEMENTS,$552 ,$0 ,$0 ,$552.47 
01 - GENERAL FUND,UNRESTRICTED,0003 - UNREST CONCENTRATION SUPPORT,Middle,203 - FRICK MIDDLE,5736 - DIRECT COST RESTORATIVE JSTC,"$25,000 ","$25,000 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0004 - School Site Approved Appeals,Middle,203 - FRICK MIDDLE,1105 - TEACHERS SALARIES,"$76,329 ","$62,391 ","$15,675 ","($1,736.60)"
01 - GENERAL FUND,UNRESTRICTED,0004 - School Site Approved Appeals,Middle,203 - FRICK MIDDLE,3101 - STRS CERTIFICATED,"$11,014 ","$9,003 ","$2,262 ",($250.51)
01 - GENERAL FUND,UNRESTRICTED,0004 - School Site Approved Appeals,Middle,203 - FRICK MIDDLE,3321 - MEDICARE CERTIFICATED,"$1,107 ",$868 ,$227 ,$11.56 
01 - GENERAL FUND,UNRESTRICTED,0004 - School Site Approved Appeals,Middle,203 - FRICK MIDDLE,3401 - HEALTH & WELFARE CERTIFICATED,"$32,692 ","$17,024 ","$4,265 ","$11,402.93 "
01 - GENERAL FUND,UNRESTRICTED,0004 - School Site Approved Appeals,Middle,203 - FRICK MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$82 ,$67 ,$17 ,($1.81)
01 - GENERAL FUND,UNRESTRICTED,0004 - School Site Approved Appeals,Middle,203 - FRICK MIDDLE,3601 - WORKERS COMP CERTIFICATED,"$4,771 ","$3,743 ",$941 ,$86.67 
01 - GENERAL FUND,UNRESTRICTED,0004 - School Site Approved Appeals,Middle,203 - FRICK MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$37 ,$57 ,$13 ,($32.51)
01 - GENERAL FUND,UNRESTRICTED,0007 - ONE-TIME ADDTL BUDGET,Middle,203 - FRICK MIDDLE,2205 - CLASSSUPPT SALARIES,$0 ,$565 ,$0 ,($564.72)
01 - GENERAL FUND,UNRESTRICTED,0007 - ONE-TIME ADDTL BUDGET,Middle,203 - FRICK MIDDLE,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED",$0 ,$35 ,$0 ,($35.01)
01 - GENERAL FUND,UNRESTRICTED,0007 - ONE-TIME ADDTL BUDGET,Middle,203 - FRICK MIDDLE,3322 - MEDICARE CLASSIFIED,$0 ,$8 ,$0 ,($8.19)
01 - GENERAL FUND,UNRESTRICTED,0007 - ONE-TIME ADDTL BUDGET,Middle,203 - FRICK MIDDLE,3502 - ST UNEMPLOY INS CLASSIFIED,$0 ,$1 ,$0 ,($0.60)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,203 - FRICK MIDDLE,1105 - TEACHERS SALARIES,"$18,848 ","$6,620 ",$997 ,"$11,230.15 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,203 - FRICK MIDDLE,3101 - STRS CERTIFICATED,"$1,399 ",$950 ,$144 ,$305.27 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,203 - FRICK MIDDLE,3321 - MEDICARE CERTIFICATED,$254 ,$96 ,$14 ,$143.93 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,203 - FRICK MIDDLE,3401 - HEALTH & WELFARE CERTIFICATED,$0 ,$589 ,$147 ,($736.08)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,203 - FRICK MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$72 ,$7 ,$1 ,$63.75 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,203 - FRICK MIDDLE,3601 - WORKERS COMP CERTIFICATED,"$1,075 ",$397 ,$60 ,$617.66 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,203 - FRICK MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$0 ,$7 ,$1 ,($8.76)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,203 - FRICK MIDDLE,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,203 - FRICK MIDDLE,5825 - CONSULTANTS,"$15,000 ","$7,500 ",$0 ,"$7,500.00 "
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,203 - FRICK MIDDLE,1105 - TEACHERS SALARIES,"$29,626 ","$17,884 ",$0 ,"$11,742.73 "
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,203 - FRICK MIDDLE,3101 - STRS CERTIFICATED,"$4,275 ","$2,581 ",$0 ,"$1,694.48 "
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,203 - FRICK MIDDLE,3321 - MEDICARE CERTIFICATED,$430 ,$259 ,$0 ,$170.27 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,203 - FRICK MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$32 ,$19 ,$0 ,$12.62 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,203 - FRICK MIDDLE,3601 - WORKERS COMP CERTIFICATED,"$1,852 ","$1,073 ",$0 ,$778.67 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,203 - FRICK MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$0 ,$12 ,$0 ,($12.48)
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,203 - FRICK MIDDLE,4399 - SURPLUS,$171 ,$0 ,$0 ,$171.12 
21 - BUILDING FUND,RESTRICTED,9450 - Measure J Gn Oblg Series 2015A,Middle,203 - FRICK MIDDLE,6115 - ARCHITECTS/ENGINEERS,"$13,146 ","$10,339 ","$2,807 ",$0.00 
21 - BUILDING FUND,RESTRICTED,9450 - Measure J Gn Oblg Series 2015A,Middle,203 - FRICK MIDDLE,6220 - ASSESSMENTS AND FEES,$400 ,$400 ,$0 ,$0.00 
21 - BUILDING FUND,RESTRICTED,9450 - Measure J Gn Oblg Series 2015A,Middle,203 - FRICK MIDDLE,6235 - INSPECTOR,"$59,400 ","$17,370 ","$42,030 ",$0.00 
21 - BUILDING FUND,RESTRICTED,9450 - Measure J Gn Oblg Series 2015A,Middle,203 - FRICK MIDDLE,6252 - Preliminary Fees,"$25,743 ","$3,160 ","$22,583 ",$0.00 
21 - BUILDING FUND,RESTRICTED,9450 - Measure J Gn Oblg Series 2015A,Middle,203 - FRICK MIDDLE,6262 - Other Planning Costs,"$10,500 ","$7,808 ","$2,692 ",$0.00 
21 - BUILDING FUND,RESTRICTED,9450 - Measure J Gn Oblg Series 2015A,Middle,203 - FRICK MIDDLE,6271 - Main Construction,"$770,455 ","$333,180 ","$224,220 ","$213,055.37 "
21 - BUILDING FUND,RESTRICTED,9799 - G.O. BONDS SERIES 2016A,Middle,203 - FRICK MIDDLE,6262 - Other Planning Costs,"$2,000 ","$1,493 ",$507 ,$0.00 
21 - BUILDING FUND,RESTRICTED,9799 - G.O. BONDS SERIES 2016A,Middle,203 - FRICK MIDDLE,6271 - Main Construction,"$1,998,000 ",$0 ,"$1,920,500 ","$77,500.00 "
21 - BUILDING FUND,RESTRICTED,9350 - MEASURE J GNRL OBLGTN BD,Middle,202 - ELMHURST MIDDLE,6215 - ARCHITECTS/ENGINEERS,"$221,015 ","$59,339 ","$31,677 ","$130,000.00 "
21 - BUILDING FUND,RESTRICTED,9350 - MEASURE J GNRL OBLGTN BD,Middle,202 - ELMHURST MIDDLE,6222 - DSA Fees,"$6,975 ","$6,975 ",$0 ,$0.00 
21 - BUILDING FUND,RESTRICTED,9350 - MEASURE J GNRL OBLGTN BD,Middle,202 - ELMHURST MIDDLE,6262 - Other Planning Costs,"$9,140 ",$177 ,$823 ,"$8,140.00 "
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,1119 - TEACHER ON SPEC ASSIN SCHOOL,"$8,116 ","$5,374 ","$1,343 ","$1,398.66 "
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,3101 - STRS CERTIFICATED,"$1,171 ",$775 ,$194 ,$201.82 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$503 ,$0 ,$0 ,$503.18 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,3321 - MEDICARE CERTIFICATED,$118 ,$78 ,$19 ,$20.28 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,3401 - HEALTH & WELFARE CERTIFICATED,$728 ,$589 ,$147 ,($8.20)
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$9 ,$6 ,$1 ,$1.48 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,3601 - WORKERS COMP CERTIFICATED,$507 ,$322 ,$81 ,$104.23 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$4 ,$6 ,$1 ,($3.27)
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,4200 - BOOKS-OTHER THAN TEXTBOOKS,$972 ,$0 ,$972 ,$0.00 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,4310 - SUPPLIES,"$2,575 ",$0 ,"$2,370 ",$205.55 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,4392 - MID-YEAR ADJUSTMENT,($108),$0 ,$0 ,($108.41)
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,"4420 - COMPUTER < $5,000","$3,332 ",$0 ,"$3,329 ",$3.02 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,201 - CLAREMONT MIDDLE,5736 - DIRECT COST RESTORATIVE JSTC,"$25,000 ","$25,000 ",$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,3310 - SE-IDEA BASIC GRANT PL94-142,Middle,201 - CLAREMONT MIDDLE,2105 - INSTRAIDES SALARIES,"$89,023 ","$72,637 ","$17,169 ",($782.43)
01 - GENERAL FUND,RESTRICTED,3310 - SE-IDEA BASIC GRANT PL94-142,Middle,201 - CLAREMONT MIDDLE,3202 - PERS CLASSIFIED,"$13,826 ","$11,281 ","$2,667 ",($121.44)
01 - GENERAL FUND,RESTRICTED,3310 - SE-IDEA BASIC GRANT PL94-142,Middle,201 - CLAREMONT MIDDLE,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$5,519 ","$4,503 ","$1,064 ",($48.52)
01 - GENERAL FUND,RESTRICTED,3310 - SE-IDEA BASIC GRANT PL94-142,Middle,201 - CLAREMONT MIDDLE,3322 - MEDICARE CLASSIFIED,"$1,291 ","$1,053 ",$249 ,($11.35)
01 - GENERAL FUND,RESTRICTED,3310 - SE-IDEA BASIC GRANT PL94-142,Middle,201 - CLAREMONT MIDDLE,3402 - HEALTH & WELFARE CLASSIFIED,"$29,136 ","$23,299 ","$5,837 ",$0.03 
01 - GENERAL FUND,RESTRICTED,3310 - SE-IDEA BASIC GRANT PL94-142,Middle,201 - CLAREMONT MIDDLE,3502 - ST UNEMPLOY INS CLASSIFIED,$95 ,$77 ,$18 ,($0.78)
01 - GENERAL FUND,RESTRICTED,3310 - SE-IDEA BASIC GRANT PL94-142,Middle,201 - CLAREMONT MIDDLE,3602 - WORKERS COMP CLASSIFIED,"$5,341 ","$4,358 ","$1,030 ",($46.94)
01 - GENERAL FUND,RESTRICTED,3310 - SE-IDEA BASIC GRANT PL94-142,Middle,201 - CLAREMONT MIDDLE,3902 - OTHER BENEFITS CLASSIFIED,"$4,616 ","$3,770 ",$887 ,($40.64)
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,201 - CLAREMONT MIDDLE,1120 - TEACHERS SALARIES STIPENDS,$500 ,$0 ,$0 ,$500.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,201 - CLAREMONT MIDDLE,3101 - STRS CERTIFICATED,$58 ,$0 ,$0 ,$57.93 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,201 - CLAREMONT MIDDLE,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$9 ,$0 ,$0 ,$8.50 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,201 - CLAREMONT MIDDLE,3321 - MEDICARE CERTIFICATED,$10 ,$0 ,$0 ,$10.25 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,201 - CLAREMONT MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$6 ,$0 ,$0 ,$6.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,201 - CLAREMONT MIDDLE,3601 - WORKERS COMP CERTIFICATED,$32 ,$0 ,$0 ,$31.97 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,201 - CLAREMONT MIDDLE,5743 - DIRECT COST AFTER SCHOOL SSO,"$9,195 ","$9,195 ",$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,201 - CLAREMONT MIDDLE,5825 - CONSULTANTS,"$96,949 ","$62,976 ","$33,973 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,201 - CLAREMONT MIDDLE,5826 - EXTERNAL WORK ORDER SERVICES,"$2,386 ",$0 ,"$2,372 ",$14.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,1105 - TEACHERS SALARIES,"$263,070 ","$211,527 ","$51,542 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,2105 - INSTRAIDES SALARIES,"$175,788 ","$136,716 ","$39,071 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3101 - STRS CERTIFICATED,"$27,204 ","$22,859 ","$4,346 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3102 - STRS CLASSIFIED,$839 ,$168 ,$671 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3201 - PERS CERTIFICATED,"$13,349 ","$8,249 ","$5,100 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3202 - PERS CLASSIFIED,"$26,369 ","$21,024 ","$5,346 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED","$4,622 ","$3,293 ","$1,329 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$10,527 ","$8,393 ","$2,134 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3321 - MEDICARE CERTIFICATED,"$3,807 ","$3,060 ",$747 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3322 - MEDICARE CLASSIFIED,"$2,549 ","$1,982 ",$567 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3342 - PARS CLASSIFIED,$0 ,$0 ,$196 ,($196.25)
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3401 - HEALTH & WELFARE CERTIFICATED,"$57,758 ","$49,275 ","$8,483 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3402 - HEALTH & WELFARE CLASSIFIED,"$69,288 ","$56,439 ","$12,849 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$281 ,$226 ,$55 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3502 - ST UNEMPLOY INS CLASSIFIED,$188 ,$146 ,$42 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3601 - WORKERS COMP CERTIFICATED,"$15,784 ","$12,691 ","$3,093 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3602 - WORKERS COMP CLASSIFIED,"$10,545 ","$8,201 ","$2,344 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$338 ,$273 ,$65 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,201 - CLAREMONT MIDDLE,3902 - OTHER BENEFITS CLASSIFIED,"$9,810 ","$7,524 ","$2,286 ",$0.00 
01 - GENERAL FUND,RESTRICTED,9011 - DONATIONS,Middle,201 - CLAREMONT MIDDLE,1105 - TEACHERS SALARIES,"$20,016 ","$14,646 ","$6,902 ","($1,532.35)"
01 - GENERAL FUND,RESTRICTED,9011 - DONATIONS,Middle,201 - CLAREMONT MIDDLE,2425 - CLERICAL SALARIES OVERTIME,"$8,000 ","$7,726 ",$0 ,$273.73 
01 - GENERAL FUND,RESTRICTED,9011 - DONATIONS,Middle,201 - CLAREMONT MIDDLE,3101 - STRS CERTIFICATED,"$4,657 ",$612 ,$350 ,"$3,694.83 "
